Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
Archer,"Animation, Action, Comedy",0,92294,8.8,78,20,19,1,0,9,340,322,7,11
House,"Drama, Mystery",0,314026,8.8,75,30,22,7,-1,8,183,171,3,9
It's Always Sunny in Philadelphia,Comedy,0,136355,8.8,64,23,14,6,-1,9,219,206,6,7
Six Feet Under,"Comedy, Drama",0,92350,8.8,74,23,17,5,-1,8,168,147,2,19
Attack on Titan,"Animation, Action, Adventure",0,68643,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dragon Ball Z,"Animation, Action, Adventure",0,78024,8.8,-1,-1,-1,-1,0,8,41,37,-1,4
The Office,Comedy,0,207485,8.8,62,30,15,12,-1,8,324,283,26,15
Chappelle's Show,"Comedy, Music",0,36210,8.7,73,6,5,1,0,8,16,15,-1,1
Peaky Blinders,"Crime, Drama",0,66011,8.8,-1,-1,-1,2,0,9,171,163,3,5
Steins;Gate,"Animation, Comedy, Drama",0,18711,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Long Way Round,"Documentary, Adventure",0,8653,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Daredevil,"Action, Adventure, Crime",0,227048,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Deadwood,"Crime, Drama, History",0,66488,8.7,80,26,23,3,0,9,129,125,1,3
The Adventures of Sherlock Holmes,"Crime, Drama, Mystery",0,13726,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The West Wing,Drama,0,45082,8.8,79,23,18,5,0,8,67,63,-1,4
North,Comedy,0,18,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lonesome Dove,"Adventure, Drama, Western",0,15017,8.8,46,13,3,6,-1,4,7,2,2,3
Dexter,"Crime, Drama, Mystery",0,506506,8.8,77,27,24,2,-1,9,1649,1,39,50
Better Call Saul,"Crime, Drama",0,159278,8.8,78,43,40,3,0,8,890,804,38,48
Nathan for You,"Documentary, Comedy",0,6211,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Battlestar Galactica,"Action, Adventure, Drama",0,121883,8.7,-1,-1,1,-1,0,9,287,273,7,7
The Thick of It,Comedy,0,12644,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Daily Show,"Comedy, News, Talk-Show",0,34520,8.7,-1,-1,-1,-1,0,8,25,20,3,2
The Night Of,"Crime, Drama",0,47068,8.7,90,40,38,2,0,8,406,373,14,19
The X-Files,"Drama, Mystery, Sci-Fi",0,151687,8.7,70,14,11,2,-1,8,183,168,9,6
Black-Adder II,Comedy,0,27173,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Shield,"Crime, Drama, Thriller",0,55230,8.7,92,28,26,2,0,9,162,158,1,3
Curb Your Enthusiasm,Comedy,0,67797,8.7,80,20,17,3,0,8,74,70,1,3
Doctor Who,"Adventure, Drama, Family",0,151514,8.8,70,9,7,2,0,8,520,476,27,17
