Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,0,115320,0,0,0,8.8
Fawlty Towers,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",0,60128,0,0,0,8.8
Gravity Falls,Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls.,0,25455,0,0,0,8.9
Making a Murderer,"Filmed over a 10-year period, Making a Murderer is an unprecedented real-life thriller about Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law ...",0,45547,0,0,0,8.8
The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.,0,272071,75,0,0,8.8
Oz,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,0,67737,0,0,0,8.8
The Return of Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",0,4821,0,0,0,8.9
The Jinx: The Life and Deaths of Robert Durst,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon, Robert Durst, the key suspect in a series of unsolved crimes.",0,20652,0,4.6,0,8.8
South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",0,246596,90,4.2,0,8.8
From the Earth to the Moon,Dramatized portrayal of the Apollo manned space program.,0,7883,0,0,0,8.9
Dragon Ball Z,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",0,78024,0,0,0,8.8
Top Gear,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",0,81037,0,0,0,8.8
Horace and Pete,"Horace and Pete is an American comedy-drama web series created by Louis C.K. starring himself and Steve Buscemi as Horace and Pete, co-owners of an Irish bar, Horace and Pete's.",0,6010,0,0,0,8.9
Hunter x Hunter,"Gon Freecs a young boy aspires to become a Hunter, an exceptionnal being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.",0,18760,0,0,0,8.9
Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,0,92294,0,0,0,8.8
House,0,0,314026,0,0,0,8.8
It's Always Sunny in Philadelphia,Four young friends with big egos and slightly arrogant attitudes are the proprietors of an Irish bar in Philadelphia.,0,136355,98,4.7,0,8.8
Six Feet Under,A drama series that takes a darkly comical look at members of a dysfunctional California family that runs an independent funeral home.,0,92350,0,0,0,8.8
Attack on Titan,"After his hometown is destroyed and his mother is killed, young Eren Jaegar vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",0,68643,0,0,0,8.8
Dragon Ball Z,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",0,78024,0,0,0,8.8
The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium. Based on the hit BBC series.",0,207485,0,0,0,8.8
Chappelle's Show,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,0,36210,0,0,0,8.7
Peaky Blinders,0,0,66011,0,0,0,8.8
Steins;Gate,0,0,18711,0,0,0,8.8
Long Way Round,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, ...",0,8653,0,0,0,8.9
Daredevil,"Matt Murdock, with his other senses superhumanly enhanced, fights crime as a blind lawyer by day, and vigilante by night.",0,227048,0,0,0,8.8
Deadwood,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",0,66488,0,0,0,8.7
The Adventures of Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",0,13726,0,0,0,8.8
The West Wing,Inside the lives of staffers in the west wing of the White House.,0,45082,0,0,0,8.8
North,0,0,11454,27,2.5,3.3,4.4
Lonesome Dove,"Epic story about two former Texas rangers who decide to move cattle from the south to Montana. Augustus McCrae and Woodrow Call run into many problems on the way, and the journey doesn't ...",0,15017,0,0,0,8.8
Dexter,"Dexter Morgan is a Forensics Expert, a loyal brother, boyfriend, and friend. That's what he seems to be, but that's not what he really is. Dexter Morgan is a Serial Killer that hunts the bad.",0,506506,0,0,0,8.8
Better Call Saul,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time leading up to establishing his strip-mall law office in Albuquerque, New Mexico.",0,159278,0,0,0,8.8
Nathan for You,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",0,6211,0,0,0,8.9
Battlestar Galactica,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",0,121883,0,0,0,8.7
The Thick of It,"Set in the corridors of power and spin, the Minister for Social Affairs, is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.",0,12644,0,0,0,8.8
The Daily Show,"Providing comedy/news in the tradition of TV Nation and SNL's Weekend Update, Comedy Central's Daily Show reports on the foibles and of the real world with a satirical edge. In addition to ...",0,34520,0,0,0,8.7
The Night Of,0,0,47068,0,0,0,8.7
The X-Files,"Two FBI agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained while hidden forces work to impede their efforts.",0,151687,0,0,0,8.7
Black-Adder II,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",0,27173,0,0,0,8.7
The Shield,The story of an inner-city Los Angeles police precinct where some of the cops aren't above breaking the rules or working against their associates to both keep the streets safe and their ...,0,55230,0,0,0,8.7
Curb Your Enthusiasm,The life and times of Larry David and the predicaments he gets himself in with his friends and complete strangers.,0,67797,0,0,0,8.7
Doctor Who,The adventures of the doctor who is an time traveling alien from the planet Galifrey. He has commons and space and lots more,0,151514,0,0,0,8.8
QI,"A comedy panel game in which being Quite Interesting is more important than being right. Stephen Fry is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",0,22027,0,0,0,8.7
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",0,6606,96,4.2,0,8.8
Through the Wormhole,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there ...",0,11545,0,0,0,8.7
Black Adder the Third,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",0,25701,0,0,0,8.7
Mystery Science Theater 3000,"In the not-too-distant future, a man and his robots are trapped aboard the Satellite of Love, where mad scientists force them to sit through the worst movies ever made.",0,17292,0,0,0,8.7
Mr. Robot,0,0,189026,0,0,0,8.7
Code Geass: Lelouch of the Rebellion,"The Empire of Britannia has invaded Japan using giant robot weapons called Knightmare Frames. Japan is now referred to as Area 11, and its people the 11's. A Britannian who was living in ...",0,26646,100,4.7,0,8.7
Spaced,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",0,39961,0,0,0,8.7
Brass Eye,Controversal spoof of current-affairs TV and the role of celebrity in the UK.,0,6702,0,0,0,8.7
Downton Abbey,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early 20th Century.,0,114031,0,0,0,8.7
Shameless,An alcoholic man lives in a perpetual stupor while his six children with whom he lives cope as best they can.,0,104817,0,0,0,8.7
Fullmetal Alchemist,"The Elric brothers' deciding to perform a forbidden human transmutation to bring their dead mother back, they end up losing their bodies. Now Edward must find the chemical privileges to restore their body back.",0,39989,0,0,0,8.7
One Piece,"Follows the adventures of Monkey D. Luffy and his friends in order to find the greatest treasure ever left by the legendary Pirate, Gol D Roger. The famous mystery treasure named ""One Piece"".",0,41075,0,0,0,8.8
Battlestar Galactica,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",0,121883,0,0,0,8.7
Star Trek: The Next Generation,"Set decades after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in a new Enterprise on their own mission to go where no one has gone before.",0,66763,0,0,0,8.6
This Is Us,"A group of people with the same birthday, including Jack, whose wife, Rebecca, is expecting triplets in Pittsburgh, Kevin, a handsome television actor growing bored of his fly bachelor lifestyle, Kate, his funny and sweet heavyset twin, and Randall, a big shot commodities trader in search of his biological father.",0,9308,0,0,0,8.8
Yes Minister,The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms - or so he thinks.,0,7285,0,0,0,8.7
Louie,"The life of Louis CK, a divorced comedian with two kids living in New York.",0,59092,0,0,0,8.6
Generation Kill,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",0,35058,0,0,0,8.6
Impractical Jokers,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",0,18288,0,0,0,8.7
Young Justice,Teenage superheroes strive to prove themselves as members of the Justice League.,0,18471,0,0,0,8.7
Atlanta,"Two cousins, with different views on art versus commerce, on their way up through the Atlanta rap scene; ""Earnest 'Earn' Marks,"" an ambitious college drop-out and his estranged cousin, who suddenly becomes a star.",0,6433,0,0,0,8.8
