Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg,Kmeans
From the Earth to the Moon,0,7,11,0,7883,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Dragon Ball Z,2,0,1,0,78024,8.8,-1,-1,-1,-1,0,8,41,37,-1,4,4
Top Gear,4,22,22,0,81037,8.8,-1,-1,-1,-1,0,8,64,57,2,5,4
Horace and Pete,4,7,7,0,6010,8.9,78,12,11,1,0,8,129,112,6,11,4
Hunter x Hunter,2,0,1,0,18760,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Archer,2,0,4,0,92294,8.8,78,20,19,1,0,9,340,322,7,11,4
House,7,15,15,0,314026,8.8,75,30,22,7,-1,8,183,171,3,9,4
It's Always Sunny in Philadelphia,4,4,4,0,136355,8.8,64,23,14,6,-1,9,219,206,6,7,4
Six Feet Under,4,7,7,0,92350,8.8,74,23,17,5,-1,8,168,147,2,19,4
Attack on Titan,2,0,1,0,68643,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Dragon Ball Z,2,0,1,0,78024,8.8,-1,-1,-1,-1,0,8,41,37,-1,4,4
The Office,4,4,4,0,207485,8.8,62,30,15,12,-1,8,324,283,26,15,4
Chappelle's Show,4,13,13,0,36210,8.7,73,6,5,1,0,8,16,15,-1,1,4
Peaky Blinders,5,7,7,0,66011,8.8,-1,-1,-1,2,0,9,171,163,3,5,4
Steins;Gate,2,4,7,0,18711,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Long Way Round,6,1,1,0,8653,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Daredevil,0,1,5,0,227048,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Deadwood,5,7,11,0,66488,8.7,80,26,23,3,0,9,129,125,1,3,4
The Adventures of Sherlock Holmes,5,7,15,0,13726,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The West Wing,7,7,7,0,45082,8.8,79,23,18,5,0,8,67,63,-1,4,4
North,4,4,4,0,18,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
Lonesome Dove,1,7,25,0,15017,8.8,46,13,3,6,-1,4,7,2,2,3,4
Dexter,5,7,15,0,506506,8.8,77,27,24,2,-1,9,1649,1,39,50,4
Better Call Saul,5,7,7,0,159278,8.8,78,43,40,3,0,8,890,804,38,48,4
Nathan for You,6,4,4,0,6211,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Battlestar Galactica,0,1,7,0,121883,8.7,-1,-1,1,-1,0,9,287,273,7,7,4
The Thick of It,4,4,4,0,12644,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Daily Show,4,16,22,0,34520,8.7,-1,-1,-1,-1,0,8,25,20,3,2,4
The Night Of,5,7,7,0,47068,8.7,90,40,38,2,0,8,406,373,14,19,4
The X-Files,7,15,19,0,151687,8.7,70,14,11,2,-1,8,183,168,9,6,4
Black-Adder II,4,4,4,0,27173,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Shield,5,7,23,0,55230,8.7,92,28,26,2,0,9,162,158,1,3,4
Curb Your Enthusiasm,4,4,4,0,67797,8.7,80,20,17,3,0,8,74,70,1,3,4
Doctor Who,1,7,8,0,151514,8.8,70,9,7,2,0,8,520,476,27,17,4
QI,4,10,10,0,22027,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,2,0,1,0,6606,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Through the Wormhole,6,6,6,0,11545,8.7,-1,-1,-1,-1,0,8,12,11,-1,1,4
Black Adder the Third,4,4,4,0,25701,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Mystery Science Theater 3000,4,19,19,0,17292,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Mr. Robot,5,7,23,0,189026,8.7,79,23,22,1,0,8,784,701,39,44,4
Code Geass: Lelouch of the Rebellion,2,0,1,0,26646,8.7,-1,-1,-1,-1,0,9,66,63,1,2,4
Curb Your Enthusiasm,4,4,4,0,67797,8.7,80,20,17,3,0,8,74,70,1,3,4
Doctor Who,1,7,8,0,151514,8.8,70,9,7,2,0,8,520,476,27,17,4
QI,4,10,10,0,22027,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,2,0,1,0,6606,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Through the Wormhole,6,6,6,0,11545,8.7,-1,-1,-1,-1,0,8,12,11,-1,1,4
Black Adder the Third,4,4,4,0,25701,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Mystery Science Theater 3000,4,19,19,0,17292,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Mr. Robot,5,7,23,0,189026,8.7,79,23,22,1,0,8,784,701,39,44,4
Code Geass: Lelouch of the Rebellion,2,0,1,0,26646,8.7,-1,-1,-1,-1,0,9,66,63,1,2,4
Spaced,4,4,4,0,39961,8.7,-1,-1,-1,-1,0,8,35,30,2,3,4
Brass Eye,4,4,4,0,6702,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Downton Abbey,7,18,18,0,114031,8.7,91,16,15,1,0,8,324,295,11,18,4
Shameless,4,7,7,0,104817,8.7,-1,-1,-1,-1,0,8,11,10,-1,1,4
